Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testAccuracy,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testTimeZoneNotSpecified,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testInvalidTimeZone,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testEmptyTimeZone,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,beforeEach,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithMultiCharacterQuotes,11,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithDifferentLeadingAndTrailingQuotes,10,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithSingleCharacterQuotes,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithoutQuotes,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithUnsupportedQuotes,7,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,assertParsingFailure,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,read,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,DatabaseHelper,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,setUp,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,tearDown,12,3,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,createTable,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,10,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,select,12,2,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,execute,8,2,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ResultSetReadCallback,read,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,7,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,8,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidator,ensureValid,10,2,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidator,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,StringUtils,join,14,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,ColumnId,3,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,ColumnId,7,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,tableId,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,name,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,aliasOrName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,appendTo,7,2,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,hashCode,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,equals,10,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendTo,0,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,apply,0,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,delimitedBy,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,transformedBy,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,of,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,of,4,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,of,5,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,identifiers,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,columnNames,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,columnNamesWith,7,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,placeholderInsteadOfColumnNames,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,columnNamesWithPrefix,7,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,create,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,ExpressionBuilder,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,ExpressionBuilder,4,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifierDelimiter,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendLeadingQuote,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendTrailingQuote,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendStringQuote,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendStringQuoted,6,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifier,10,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifier,10,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendBinaryLiteral,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendNewLine,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,append,9,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,append,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,append,9,2,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,BasicListBuilder,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,BasicListBuilder,4,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,delimitedBy,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,transformedBy,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,of,12,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendList,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,appendMultiple,9,3,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Expressable,appendTo,0,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Transform,apply,0,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,delimitedBy,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,transformedBy,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,of,0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,of,4,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,of,5,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,BasicListBuilder,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,BasicListBuilder,4,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,delimitedBy,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,transformedBy,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,of,12,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,3,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,5,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,identifierDelimiter,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,leadingQuoteString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,trailingQuoteString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,expressionBuilder,3,1,1
