Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,0,0,4,4,15,4,0,0,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,1,0,7,6,55,7,0,0,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,2,1,9,8,61,13,0,0,0.2222222222222222,1,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ResultSetReadCallback,0,0,1,0,3,1,0,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,1,0,2,2,18,2,0,0,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidator,1,1,2,2,16,3,0,0,1.0,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,StringUtils,0,0,1,1,25,3,0,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,4,0,9,9,52,12,0,1,0.2222222222222222,14,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,6,0,35,26,313,46,2,0,0.2857142857142857,22,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Expressable,0,0,1,0,11,1,0,0,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Transform,0,0,1,0,7,1,0,0,-1.0,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,0,0,5,0,47,5,1,0,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,3,0,5,3,30,7,0,1,0.4,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,7,2,9,9,124,17,0,0,0.3333333333333333,5,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CollectionUtils,0,0,2,1,7,2,0,0,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ConnectionProvider,0,0,4,0,30,4,1,0,-1.0,6,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,4,0,5,4,35,5,0,0,1.0,8,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,1,0,1,1,11,2,0,0,0.0,2,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,3,0,10,10,52,14,0,0,0.0,11,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,5,0,8,8,89,13,0,0,0.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,7,0,8,6,82,13,0,1,0.0,4,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,4,0,10,10,89,24,0,1,0.2,41,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Version,3,0,1,1,18,1,0,0,0.0,3,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinitions,3,0,3,3,48,6,0,0,0.0,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,15,0,23,23,201,27,0,0,0.0,11,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,6,0,13,10,110,15,0,0,0.46153846153846156,0,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,1,1,35,33,172,38,0,1,0.08571428571428572,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,0,0,5,5,42,5,0,0,-1.0,0,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,12,0,8,7,72,11,0,0,0.0,0,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,0,0,8,7,113,13,0,1,-1.0,1,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,2,0,56,31,501,82,0,1,0.10714285714285714,0,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableMonitorThreadTest,24,2,18,12,203,28,0,0,0.1111111111111111,0,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,Op,0,0,1,0,3,1,0,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,MockTime,2,0,7,7,42,10,0,0,0.2857142857142857,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,14,0,9,2,77,12,3,0,0.2222222222222222,0,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,EmbeddedDerby,9,0,26,22,228,42,0,0,0.11538461538461539,8,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,CaseSensitive,1,0,2,2,9,2,2,0,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableName,0,0,1,1,5,1,0,1,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,ColumnName,0,0,1,1,5,1,0,1,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,Condition,0,0,0,0,5,0,1,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,EqualsCondition,2,0,2,2,11,2,0,1,0.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,Literal,1,0,2,2,9,2,0,0,0.0,0,0
