Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldGenerateNormalizedTableNameForTopic,Long Statement,The length of the statement "assertThat(jdbcDbWriter.generateTableNameFor("this.is.topic.with.dots")).isEqualTo("kafka_topic_this_is_topic_with_dots");" is 122.,79
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldGenerateNormalizedTableNameForTopic,Long Statement,The length of the statement "assertThat(jdbcDbWriter.generateTableNameFor("this.is.topic.with.dots.and.weired.characters#$%")).isEqualTo("kafka_topic_this_is_topic_with_dots_and_weired_characters___");" is 172.,79
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Schema valueSchema1=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).build();" is 130.,138
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Schema valueSchema2=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).field("year"`Schema.OPTIONAL_INT32_SCHEMA).field("review"`SchemaBuilder.string().defaultValue("").build());" is 229.,138
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Struct valueStruct2=new Struct(valueSchema2).put("author"`"Tom Robbins").put("title"`"Fierce Invalids").put("year"`2016);" is 127.,138
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Magic Number,The method contains a magic number: 2016,138
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Magic Number,The method contains a magic number: 2L,138
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithKafkaPkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.KAFKA`"")).isInstanceOf(SQLException.class);" is 174.,193
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordKeyPkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`"")).isInstanceOf(SQLException.class);" is 179.,206
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordValuePkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`"author`title")).isInstanceOf(SQLException.class);" is 193.,219
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,idempotentUpsertWithRecordValuePk,Long Statement,The length of the statement "writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.UPSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`"author`title");" is 134.,226
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Long Statement,The length of the statement "final Schema valueSchema=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).build();" is 129.,232
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 7,232
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 42,232
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 2,232
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final String createTable="CREATE TABLE " + testId + " ("+ " the_byte INTEGER`"+ " the_short INTEGER`"+ " the_int INTEGER`"+ " the_long INTEGER`"+ " the_float REAL`"+ " the_double REAL`"+ " the_bool INTEGER`"+ " the_string TEXT`"+ " the_bytes BLOB` "+ " the_decimal NUMERIC`"+ " the_date NUMERIC`"+ " the_time NUMERIC`"+ " the_timestamp NUMERIC"+ ");";" is 351.,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final Schema schema=SchemaBuilder.struct().name(testId).field("the_byte"`Schema.INT8_SCHEMA).field("the_short"`Schema.INT16_SCHEMA).field("the_int"`Schema.INT32_SCHEMA).field("the_long"`Schema.INT64_SCHEMA).field("the_float"`Schema.FLOAT32_SCHEMA).field("the_double"`Schema.FLOAT64_SCHEMA).field("the_bool"`Schema.BOOLEAN_SCHEMA).field("the_string"`Schema.STRING_SCHEMA).field("the_bytes"`Schema.BYTES_SCHEMA).field("the_decimal"`Decimal.schema(2).schema()).field("the_date"`Date.SCHEMA).field("the_time"`Time.SCHEMA).field("the_timestamp"`Timestamp.SCHEMA);" is 558.,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final Struct struct=new Struct(schema).put("the_byte"`(byte)-32).put("the_short"`(short)1234).put("the_int"`42).put("the_long"`12425436L).put("the_float"`2356.3f).put("the_double"`-2436546.56457d).put("the_bool"`true).put("the_string"`"foo").put("the_bytes"`new byte[]{-32`124}).put("the_decimal"`new BigDecimal("1234.567")).put("the_date"`instant).put("the_time"`instant).put("the_timestamp"`instant);" is 402.,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "assertThat(rs.getTimestamp("the_timestamp")).isEqualTo(new java.sql.Timestamp(((java.util.Date)struct.get("the_time")).getTime()));" is 131.,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 1474661402123L,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 32,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 1234,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 42,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 12425436L,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2356.3f,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2436546.56457d,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 32,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 20,274
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 80,274
