Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,setUp,3,1,0,59,0,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,tearDown,6,2,0,64,0,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,newWriter,6,1,1,72,0,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldGenerateNormalizedTableNameForTopic,16,1,0,79,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldSelectTableFromMapping,12,1,0,107,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldThrowConnectExceptionForUnknownTopicToTableMapping,11,1,0,123,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,28,3,0,138,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithKafkaPkFailsDueToUniqueConstraint,3,1,0,193,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,idempotentUpsertWithKafkaPk,3,1,0,200,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordKeyPkFailsDueToUniqueConstraint,3,1,0,206,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,idempotentUpsertWithRecordKeyPk,3,1,0,213,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordValuePkFailsDueToUniqueConstraint,3,1,0,219,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,idempotentUpsertWithRecordValuePk,3,1,0,226,1,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,19,1,3,232,0,,
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,32,1,0,274,1,,
sink,io.aiven.connect.jdbc.sink,SqliteHelper,SqliteHelper,3,1,1,48,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelper,sqliteUri,3,1,0,52,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelper,setUp,5,1,0,56,0,io.aiven.connect.jdbc.sink.SqliteHelper,io.aiven.connect.jdbc.sink.SqliteHelper
sink,io.aiven.connect.jdbc.sink,SqliteHelper,tearDown,4,1,0,62,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelper,createTable,3,1,1,67,0,io.aiven.connect.jdbc.sink.SqliteHelper,io.aiven.connect.jdbc.sink.SqliteHelper
sink,io.aiven.connect.jdbc.sink,SqliteHelper,deleteTable,9,1,1,71,0,io.aiven.connect.jdbc.sink.SqliteHelper,io.aiven.connect.jdbc.sink.SqliteHelper
sink,io.aiven.connect.jdbc.sink,SqliteHelper,select,12,2,2,82,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelper,execute,6,1,1,95,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,setUp,3,1,0,60,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,tearDown,3,1,0,65,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,correctBatching,24,1,0,70,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testFlushSuccessNoInfo,27,1,0,114,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testInsertModeUpdate,24,1,0,157,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testInsertModeWithDeleteEnabled,31,1,0,194,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testMultiInsertModeWithDeleteEnabled,32,1,0,239,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testInsertModeMultiAutomaticFlush,20,2,0,286,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testInsertModeMultiExplicitFlush,19,1,0,322,1,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,newPlanet,3,1,3,356,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,newPlanetSchema,3,1,0,362,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,multiModeConfig,3,1,1,369,0,,
sink,io.aiven.connect.jdbc.sink,BufferedRecordsTest,wrapInSinkRecord,3,1,1,379,0,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,testNoMissingFields,3,1,0,41,1,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,testMissingFieldsWithSameCase,3,1,0,46,1,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,testSameNamesDifferentCases,3,1,0,51,1,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,testMissingFieldsWithDifferentCase,5,1,0,56,1,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,missingFields,11,3,2,63,0,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,columns,3,1,1,82,0,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,sinkRecords,7,2,1,86,0,,
sink,io.aiven.connect.jdbc.sink,DbStructureTest,field,3,1,1,94,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelperTest,setUp,3,1,0,43,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelperTest,tearDown,3,1,0,48,0,,
sink,io.aiven.connect.jdbc.sink,SqliteHelperTest,returnTheDatabaseTableInformation,59,2,0,53,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,setUp,3,1,0,38,0,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,testValidate_withDeleteEnabledAndPkModeNotRecordKey_shouldAddErrorMessage,9,1,0,43,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,testValidate_withDeleteEnabledAndPkModeRecordKey_shouldNotAddErrorMessage,9,1,0,61,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,testValidate_pkModeRecordKey_shouldNotAddErrorMessage,8,1,0,79,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,testValidate_withDeleteDisabled_shouldNotAddErrorMessage,9,1,0,96,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,setUp,3,1,0,70,0,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,tearDown,3,1,0,75,0,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,putPropagatesToDbWithAutoCreateAndPkModeKafka,33,1,0,80,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,putPropagatesToDbWithPkModeRecordValue,28,1,0,138,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,retries,26,1,0,208,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,initWriter,3,1,0,220,0,,
sink,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,beforeEach,8,1,0,59,0,,
sink,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,bindRecordInsert,28,1,0,69,1,,
sink,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,bindRecordUpsertMode,14,1,0,158,1,,
sink,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,bindRecordUpdateMode,14,1,0,197,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldReturnEmptyMapForUndefinedMapping,5,1,0,38,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldParseTopicToTableMappings,10,1,0,45,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldThrowExceptionForWrongMappingFormat,5,1,0,64,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldThrowExceptionForEmptyMappingFormat,5,1,0,73,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,verifyDeleteEnabled,11,1,0,82,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldValidatePKModeNoneWithPKFieldsSet,9,1,0,96,0,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldValidatePKModeKafkaWithInvalidPKFields,9,1,0,111,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldValidatePKModeRecordKeyWithNoPKFields,8,1,0,130,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldValidatePKModeRecordValueWithNoPKFields,8,1,0,147,1,,
sink,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,shouldValidateValidPKModeAndPKFields,8,1,0,164,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,valueSchemaMustBePresentForPkModeRecordValue,3,1,0,43,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,valueSchemaMustBeStructIfPresent,3,1,0,54,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,missingValueSchemaCanBeOk,4,1,0,65,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,metadataMayNotBeEmpty,3,1,0,84,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkMode,17,1,0,95,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkModeCustomNames,6,1,0,123,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkModeBadFieldSpec,3,1,0,136,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModePrimitiveKey,11,1,0,147,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeWithPrimitiveKeyButMultiplePkFieldsSpecified,3,1,0,174,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeButKeySchemaMissing,3,1,0,185,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeButKeySchemaAsNonStructCompositeType,3,1,0,196,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeWithStructKeyButMissingField,3,1,0,207,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithMissingPkField,3,1,0,218,1,,
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithValidPkFields,8,1,0,229,1,,
