Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,setup,14,1,0,56,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,cleanup,4,1,0,75,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithoutSchemaOrTableTypes,8,1,0,81,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWitSchemaAndWithoutTableTypes,9,1,0,91,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithSchemaAndTableTypes,9,1,0,102,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,12,1,0,113,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,5,1,0,136,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,8,1,0,143,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,9,1,0,153,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,10,1,0,164,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,namedValue,8,3,2,176,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertWhitelistRecommendations,3,1,1,185,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertBlacklistRecommendations,3,1,1,190,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,setup,6,1,0,34,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,tearDown,4,1,0,42,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBoolean,3,1,0,48,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBoolean,4,1,0,53,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testSmallInt,3,1,0,59,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTypeConversion,7,1,5,66,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,createTable,4,1,2,76,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,insertValue,3,1,1,81,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,pollRecords,7,2,0,85,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,dropTable,3,1,0,93,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,validateRecords,19,2,3,97,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateEmptyConfig,3,1,0,37,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesAndQueryMandatoryConfigPresent,8,1,0,42,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryAndTablesGiven,10,1,0,55,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryGiven,9,1,0,69,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesGiven,10,1,0,80,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,beforeEach,6,1,0,58,0,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,assertExtractedOffset,19,4,3,66,0,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,5,1,0,83,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,5,1,0,90,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,6,1,0,97,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractTooLargeDecimalOffset,6,1,0,105,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,6,1,0,116,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,5,1,0,125,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMissingParentConfig,5,1,0,38,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMissingTables,5,1,0,46,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testStartStop,10,1,0,54,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testPollInterval,13,1,0,65,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testSingleUpdateMultiplePoll,17,1,0,90,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTables,22,1,0,117,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,33,5,0,147,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,validatePollResultTable,6,2,3,191,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,tearDown,4,1,0,58,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,23,1,0,64,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testIncrementingInvalidColumn,5,1,0,95,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInvalidColumn,5,1,0,109,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementing,3,1,0,123,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualId,3,1,0,128,1,,
