Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithoutSchemaOrTableTypes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWitSchemaAndWithoutTableTypes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithSchemaAndTableTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBoolean,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBoolean,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testSmallInt,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryGiven,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractTooLargeDecimalOffset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testStartStop,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testPollInterval,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testSingleUpdateMultiplePoll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTables,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementing,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualCustomId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestamp,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampManualOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampCustomOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInNonUtcTimezone,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreNoVersionOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreVersionOneOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffsetsWithMultipleProtocol,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreNoVersionOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreVersionOneOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffsetsWithMultipleProtocol,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreNoVersionOffset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
