Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,6,0,13,10,110,15,0,0,0.46153846153846156,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfigTest.java,45
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,1,1,11,5,66,13,0,1,0.2727272727272727,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskConversionTest.java,30
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,0,0,5,5,42,5,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskConfigTest.java,35
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,12,0,8,7,72,11,0,0,0.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TimestampIncrementingCriteriaTest.java,42
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,0,0,8,7,113,13,0,1,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskLifecycleTest.java,36
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,2,0,56,31,0,82,0,1,0.10714285714285714,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskUpdateTest.java,50
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest.Field,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskUpdateTest.java,855
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,24,2,17,12,203,27,0,0,0.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TableMonitorThreadTest.java,55
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest.Op,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TableMonitorThreadTest.java,291
jdbc,io.aiven.connect.jdbc.source,MockTime,2,0,7,7,42,10,0,0,0.0,2,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/MockTime.java,26
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,14,0,9,2,77,12,3,0,0.0,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskTestBase.java,40
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,9,0,18,14,228,34,0,0,0.1111111111111111,3,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,35
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.CaseSensitive,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,262
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.TableName,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,276
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.ColumnName,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,283
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.Condition,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,290
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.EqualsCondition,2,0,0,0,11,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,297
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby.Literal,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,314
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,8,0,7,7,63,7,0,0,0.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TimestampIncrementingOffsetTest.java,27
jdbc,io.aiven.connect.jdbc.source,NumericMappingConfigTest,1,0,3,3,20,4,0,0,0.6666666666666666,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/NumericMappingConfigTest.java,32
