Project Name,Package Name,Architecture Smell,Cause of the Smell
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aiven.connect.jdbc.dialect; io.aiven.connect.jdbc.source
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TimeZoneValidatorTest; TimeZoneValidator]; [IdentifierRulesTest; IdentifierRules; ColumnId; ExpressionBuilder; BytesUtil; DatabaseHelper; TableId; TableDefinitions; ColumnDefinition; TableDefinition]; [DatabaseHelper.ResultSetReadCallback]; [CachedConnectionProviderTest; ConnectionProvider; CachedConnectionProvider]; [StringUtils]; [ExpressionBuilder.Expressable]; [ExpressionBuilder.Transform]; [ExpressionBuilder.ListBuilder]; [ExpressionBuilder.BasicListBuilder]; [CollectionUtils]; [DateTimeUtils]; [JdbcDriverInfo]; [Version]; [ColumnDefinition.Nullability]; [ColumnDefinition.Mutability]. LCC (Lack of Component Cohesion) = 0.56
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JdbcSourceConnectorConfigTest; MockTime; JdbcSourceTaskTestBase; EmbeddedDerby; JdbcSourceTask; JdbcSourceTaskConfig; JdbcSourceConnectorConfig; JdbcSourceConnectorConfig.NumericMapping; SourceConnectionProvider; TableQuerier; JdbcSourceConnectorConstants; TableMonitorThread; JdbcSourceTaskConversionTest; JdbcSourceTaskConfigTest; TimestampIncrementingCriteriaTest; TimestampIncrementingCriteria; TimestampIncrementingTableQuerier; TimestampIncrementingOffset; JdbcSourceTaskLifecycleTest; JdbcSourceTaskUpdateTest; TableMonitorThreadTest; TimestampIncrementingOffsetTest; NumericMappingConfigTest; ColumnMapping; SchemaMapping; OffsetProtocols; BulkTableQuerier]; [JdbcSourceTaskUpdateTest.Field]; [TableMonitorThreadTest.Op]; [EmbeddedDerby.CaseSensitive]; [EmbeddedDerby.TableName]; [EmbeddedDerby.ColumnName]; [EmbeddedDerby.Condition]; [EmbeddedDerby.EqualsCondition]; [EmbeddedDerby.Literal]; [TimestampIncrementingCriteria.CriteriaValues]; [SchemaMapping.FieldSetter]; [JdbcSourceConnectorConfig.TableRecommender]; [JdbcSourceConnectorConfig.CachingRecommender]; [JdbcSourceConnectorConfig.CachedRecommenderValues]; [JdbcSourceConnectorConfig.ModeDependentsRecommender]; [JdbcSourceConnectorConfig.EnumRecommender]; [TableQuerier.QueryMode]. LCC (Lack of Component Cohesion) = 0.4
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aiven.connect.jdbc
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JdbcDbWriterTest; SqliteHelper; BufferedRecordsTest; SqliteHelperTest; JdbcSinkTaskTest; JdbcSinkTask; DbStructure; JdbcDbWriter; BufferedRecords; JdbcSinkConfig; DbStructureTest; JdbcSinkConnectorTest; PreparedStatementBinderTest; PreparedStatementBinder; JdbcSinkConfigTest]; [SqliteHelper.ResultSetReadCallback]; [JdbcSinkConfig.InsertMode]; [JdbcSinkConfig.PrimaryKeyMode]; [JdbcSinkConfig.EnumValidator]. LCC (Lack of Component Cohesion) = 0.26
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aiven.connect.jdbc.sink; io.aiven.connect.jdbc.sink.metadata; io.aiven.connect.jdbc.sink
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink.metadata,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aiven.connect.jdbc.sink
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aiven.connect.jdbc; io.aiven.connect.jdbc.sink; io.aiven.connect.jdbc
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
