Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testAccuracy,4,1,0,30,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testTimeZoneNotSpecified,3,1,0,45,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testInvalidTimeZone,3,1,0,50,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testEmptyTimeZone,3,1,0,56,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,beforeEach,3,1,0,30,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithMultiCharacterQuotes,11,1,0,35,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithDifferentLeadingAndTrailingQuotes,10,1,0,48,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithSingleCharacterQuotes,9,1,0,60,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithoutQuotes,9,1,0,71,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,testParsingWithUnsupportedQuotes,7,1,0,82,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,assertParsingFailure,3,1,1,91,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,DatabaseHelper,3,1,1,38,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,setUp,3,1,0,42,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,tearDown,12,3,0,46,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,createTable,3,1,1,58,0,io.aiven.connect.jdbc.util.DatabaseHelper,io.aiven.connect.jdbc.util.DatabaseHelper
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,3,1,1,62,0,io.aiven.connect.jdbc.util.DatabaseHelper,io.aiven.connect.jdbc.util.DatabaseHelper
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,10,1,2,66,0,io.aiven.connect.jdbc.util.DatabaseHelper,io.aiven.connect.jdbc.util.DatabaseHelper
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,select,12,2,2,78,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,execute,8,2,1,91,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,7,1,0,43,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,8,1,0,56,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidator,ensureValid,10,2,2,30,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidator,toString,3,1,0,41,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,StringUtils,join,14,3,2,26,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnId,ColumnId,3,1,2,29,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnId,ColumnId,7,1,3,36,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnId,tableId,3,1,0,48,0,,
