Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testInvalidTimeZone,Long Statement,The length of the statement "assertThatThrownBy(() -> TimeZoneValidator.INSTANCE.ensureValid("db.timezone"`"invalid")).isInstanceOf(ConfigException.class);" is 126.,50
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRulesTest,assertParsingFailure,Long Statement,The length of the statement "assertThatThrownBy(() -> rules.parseQualifiedIdentifier(fqn)).as("expected parsing error").isInstanceOf(IllegalArgumentException.class);" is 136.,91
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,Magic Number,The method contains a magic number: 100,66
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,Magic Number,The method contains a magic number: 15,43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,Magic Number,The method contains a magic number: 100L,43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Long Statement,The length of the statement "when(provider.getConnection()).thenThrow(new SQLException("test")).thenThrow(new SQLException("test")).thenThrow(new SQLException("test")).thenReturn(connection);" is 162.,56
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number,The method contains a magic number: 4,56
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number,The method contains a magic number: 100L,56
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number,The method contains a magic number: 4,56
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnId,equals,Long Statement,The length of the statement "return Objects.equals(this.name`that.name) && Objects.equals(this.alias`that.alias) && Objects.equals(this.tableId`that.tableId);" is 129.,81
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,parseQualifiedIdentifier,Complex Method,Cyclomatic complexity of the method is 8,122
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number,The method contains a magic number: 2,24
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number,The method contains a magic number: 4,24
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number,The method contains a magic number: 0xF,24
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number,The method contains a magic number: 0xF,24
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,JdbcDriverInfo,Long Parameter List,The method has 5 parameters. ,31
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,Long Statement,The length of the statement "this(provider`JdbcSourceConnectorConfig.CONNECTION_ATTEMPTS_DEFAULT`JdbcSourceConnectorConfig.CONNECTION_BACKOFF_DEFAULT);" is 122.,43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,Empty catch clause,The method has an empty catch block.,85
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,Long Statement,The length of the statement "log.info("Unable to connect to database on attempt {}/{}. Will retry in {} ms."`attempts`maxConnectionAttempts`connectionRetryBackoff`sqle);" is 140.,85
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,equals,Long Statement,The length of the statement "return Objects.equals(this.catalogName`that.catalogName) && Objects.equals(this.schemaName`that.schemaName) && Objects.equals(this.tableName`that.tableName);" is 157.,74
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,compareTo,Complex Method,Cyclomatic complexity of the method is 11,88
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,ColumnDefinition,Long Parameter List,The method has 15 parameters. ,55
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,equals,Long Statement,The length of the statement "return Objects.equals(this.id`that.id) && this.jdbcType == that.jdbcType && this.displaySize == that.displaySize && this.precision == that.precision && this.scale == that.scale && this.autoIncremented == that.autoIncremented && this.caseSensitive == that.caseSensitive && this.searchable == that.searchable && this.currency == that.currency && this.signedNumbers == that.signedNumbers && this.nullability == that.nullability && Objects.equals(this.typeName`that.typeName) && Objects.equals(this.classNameForType`that.classNameForType) && Objects.equals(this.isPrimaryKey`that.isPrimaryKey);" is 590.,265
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,toString,Long Statement,The length of the statement "return "Column{'" + id.name() + '\''+ "` isPrimaryKey="+ isPrimaryKey+ "` allowsNull="+ isOptional()+ "` sqlType="+ typeName+ '}';" is 130.,290
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,forTable,Long Statement,The length of the statement "return new ColumnDefinition(newId`jdbcType`typeName`classNameForType`nullability`mutability`precision`scale`signedNumbers`displaySize`autoIncremented`caseSensitive`searchable`currency`isPrimaryKey);" is 198.,296
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,asPartOfPrimaryKey,Long Statement,The length of the statement "return new ColumnDefinition(id`jdbcType`typeName`classNameForType`nullability`mutability`precision`scale`signedNumbers`displaySize`autoIncremented`caseSensitive`searchable`currency`isPrimaryKey);" is 195.,316
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 1000L,113
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 100L,113
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 2000L,113
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,Magic Number,The method contains a magic number: 20L,136
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,Magic Number,The method contains a magic number: 20L,143
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,Magic Number,The method contains a magic number: 20L,153
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,Magic Number,The method contains a magic number: 20L,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertWhitelistRecommendations,Long Statement,The length of the statement "assertThat(namedValue(results`JdbcSourceConnectorConfig.TABLE_WHITELIST_CONFIG).recommendedValues()).containsExactlyInAnyOrderElementsOf(recommendedValues);" is 156.,185
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertBlacklistRecommendations,Long Statement,The length of the statement "assertThat(namedValue(results`JdbcSourceConnectorConfig.TABLE_BLACKLIST_CONFIG).recommendedValues()).containsExactlyInAnyOrderElementsOf(recommendedValues);" is 156.,190
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,Long Statement,The length of the statement "typeConversion("NUMERIC(1)"`false`new EmbeddedDerby.Literal("CAST (1 AS NUMERIC)")`Schema.INT8_SCHEMA`Byte.valueOf("1"));" is 121.,201
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,Long Statement,The length of the statement "typeConversion("NUMERIC(3)"`false`new EmbeddedDerby.Literal("CAST (123 AS NUMERIC)")`Schema.INT16_SCHEMA`Short.valueOf("123"));" is 127.,201
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,Long Statement,The length of the statement "typeConversion("NUMERIC(5)"`false`new EmbeddedDerby.Literal("CAST (12345 AS NUMERIC)")`Schema.INT32_SCHEMA`Integer.valueOf("12345"));" is 133.,201
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,Long Statement,The length of the statement "typeConversion("NUMERIC(10)"`false`new EmbeddedDerby.Literal("CAST (1234567890 AS NUMERIC(10))")`Schema.INT64_SCHEMA`Long.valueOf("1234567890"));" is 145.,201
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDecimal,Long Statement,The length of the statement "typeConversion("DECIMAL(5`2)"`false`new EmbeddedDerby.Literal("CAST (123.45 AS DECIMAL(5`2))")`Decimal.schema(2)`new BigDecimal(new BigInteger("12345")`2));" is 156.,217
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDecimal,Magic Number,The method contains a magic number: 2,217
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDecimal,Magic Number,The method contains a magic number: 2,217
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,Long Statement,The length of the statement "typeConversion("DECIMAL(5`2)"`true`new EmbeddedDerby.Literal("CAST(123.45 AS DECIMAL(5`2))")`Decimal.builder(2).optional().build()`new BigDecimal(new BigInteger("12345")`2));" is 174.,224
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,Magic Number,The method contains a magic number: 2,224
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,Magic Number,The method contains a magic number: 2,224
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,Magic Number,The method contains a magic number: 2,224
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDate,Magic Number,The method contains a magic number: 1977,234
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDate,Magic Number,The method contains a magic number: 13,234
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDate,Magic Number,The method contains a magic number: 1977,243
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDate,Magic Number,The method contains a magic number: 13,243
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,Magic Number,The method contains a magic number: 1970,255
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,Magic Number,The method contains a magic number: 23,255
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,Magic Number,The method contains a magic number: 3,255
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,Magic Number,The method contains a magic number: 20,255
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,Magic Number,The method contains a magic number: 1970,264
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,Magic Number,The method contains a magic number: 23,264
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,Magic Number,The method contains a magic number: 3,264
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,Magic Number,The method contains a magic number: 20,264
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Long Statement,The length of the statement "typeConversion("TIMESTAMP"`false`"1977-02-13 23:03:20"`Timestamp.builder().build()`java.sql.Timestamp.from(expected.getTime().toInstant()));" is 140.,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Magic Number,The method contains a magic number: 1977,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Magic Number,The method contains a magic number: 13,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Magic Number,The method contains a magic number: 23,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Magic Number,The method contains a magic number: 3,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,Magic Number,The method contains a magic number: 20,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Long Statement,The length of the statement "typeConversion("TIMESTAMP"`true`"1977-02-13 23:03:20"`Timestamp.builder().optional().build()`java.sql.Timestamp.from(expected.getTime().toInstant()));" is 150.,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Magic Number,The method contains a magic number: 1977,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Magic Number,The method contains a magic number: 13,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Magic Number,The method contains a magic number: 23,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Magic Number,The method contains a magic number: 3,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,Magic Number,The method contains a magic number: 20,285
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,typeConversion,Long Parameter List,The method has 5 parameters. ,300
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,typeConversion,Magic Number,The method contains a magic number: 10,300
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesAndQueryMandatoryConfigPresent,Long Statement,The length of the statement "assertThrowsExactly(ConnectException.class`config::validate`"Invalid configuration: each JdbcSourceTask must" + " have at least one table assigned to it or one query specified");" is 178.,42
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryAndTablesGiven,Long Statement,The length of the statement "assertThrowsExactly(ConnectException.class`config::validate`"Invalid configuration: each JdbcSourceTask must" + " have at least one table assigned to it or one query specified");" is 178.,55
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,Magic Number,The method contains a magic number: 42,83
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,Magic Number,The method contains a magic number: 42L,83
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,Magic Number,The method contains a magic number: 42L,90
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,Magic Number,The method contains a magic number: 42L,90
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,Magic Number,The method contains a magic number: 42,97
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,Magic Number,The method contains a magic number: 42L,97
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractTooLargeDecimalOffset,Magic Number,The method contains a magic number: 42L,105
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,Magic Number,The method contains a magic number: 2,116
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,Magic Number,The method contains a magic number: 42L,116
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Long Statement,The length of the statement "schema=SchemaBuilder.struct().field("id"`SchemaBuilder.INT32_SCHEMA).field(TS1_COLUMN.name()`Timestamp.SCHEMA).field(TS2_COLUMN.name()`Timestamp.SCHEMA).build();" is 161.,125
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Magic Number,The method contains a magic number: 42,125
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Magic Number,The method contains a magic number: 42L,125
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testPollInterval,Magic Number,The method contains a magic number: 2,65
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testSingleUpdateMultiplePoll,Magic Number,The method contains a magic number: 2,90
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTables,Magic Number,The method contains a magic number: 2,117
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 3,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 4,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualCustomId,Magic Number,The method contains a magic number: 2L,133
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 3,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 3,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 32.4f,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 33.4f,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 35.4f,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 2,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 2,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 3,164
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampCustomOffset,Magic Number,The method contains a magic number: 15L,200
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 20L,205
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 2,205
