Project Name,Package Name,Type Name,Code Smell
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidator,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,Cyclic-Dependent Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ExpressionBuilder,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Expressable,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Transform,Cyclic-Dependent Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ListBuilder,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BasicListBuilder,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CollectionUtils,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableMonitorThreadTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableMonitorThreadTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,Unutilized Abstraction
