Project Name,Package Name,Type Name,Method Name,Code Smell
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TimeZoneValidatorTest,testInvalidTimeZone,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRulesTest,assertParsingFailure,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DatabaseHelper,deleteTable,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillFailure,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProviderTest,retryTillConnect,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnId,equals,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,parseQualifiedIdentifier,Complex Method
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,toHex,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,JdbcDriverInfo,Long Parameter List
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,Empty catch clause
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,equals,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,compareTo,Complex Method
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,ColumnDefinition,Long Parameter List
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,equals,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,toString,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,forTable,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,asPartOfPrimaryKey,Long Statement
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,Magic Number
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,Magic Number
